Name,Symbol,Industry Group,Base Rev FY24 (Cr),End Rev FY26 (Cr),2Y CAGR (%),CAGR Status,TTM Rev (Cr),TTM vs End FY (%),Current Price (INR),Price 2Y Ago (INR),% Away,ROCE (%),Error
Asian Paints,ASIANPAINT.NS,Consumer Durables,35395.42,35540.9,0.2,FAIL,37186.93,4.6,2746.2,3020.07,-9.1,29.2,
Ather Energy,ATHERENERG.NS,Automobiles,1751.1,3662.52,44.6,PASS,3671.76,0.3,1240.9,302.3,310.5,-8.2,
Avenue Super.,DMART.NS,Retailing,50789.0,68821.0,16.4,PASS,71256.0,3.5,3874.0,4935.95,-21.5,17.2,
Aurobindo Pharma,AUROPHARMA.NS,Pharmaceuticals & Biotechnology,29002.0,33653.0,7.7,FAIL,33653.0,0.0,1576.3,1428.79,10.3,12.8,
AU Small Finance,AUBANK.NS,Banks,6855.62,12090.62,32.8,PASS,1061.2,-91.2,1030.7,645.25,59.7,,
Atul,ATUL.NS,Chemicals & Petrochemicals,4668.02,6203.11,15.3,PASS,6643.49,7.1,6803.0,7902.59,-13.9,14.9,
Authum Invest,AIIL.NS,Finance,2239.39,2608.8,7.9,FAIL,2557.6,-2.0,545.9,206.43,164.5,11.2,
Bajaj Auto,BAJAJ-AUTO.NS,Automobiles,44870.0,62905.0,18.4,PASS,71460.0,13.6,11432.0,9294.52,23.0,28.2,
AWL Agri Busine.,AWL.NS,Agricultural Food & other Products,51225.0,74731.0,20.8,PASS,74731.0,0.0,187.58,346.34,-45.8,18.3,
Axis Bank,AXISBANK.NS,Banks,76603.04,88067.31,7.2,FAIL,77081.36,-12.5,1228.9,1164.21,5.6,,
B H E L,BHEL.NS,Electrical Equipment,22920.52,32359.83,18.8,PASS,35992.99,11.2,403.0,313.31,28.6,7.3,
B P C L,BPCL.NS,Petroleum Products,446666.26,455228.03,1.0,FAIL,493953.59,8.5,315.8,312.19,1.2,31.9,
Bajaj Finance,BAJFINANCE.NS,Finance,54972.0,81985.0,22.1,PASS,81985.0,0.0,1053.5,672.39,56.7,10.9,
