Name,BSE Code,NSE Code,ISIN Code,Industry Group
Escorts Kubota,500495,ESCORTS,INE042A01014,"Agricultural, Commercial & Construction Vehicles"
Eternal,543320,ETERNAL,INE758T01015,Retailing
Exide Inds.,500086,EXIDEIND,INE302A01020,Auto Components
F A C T,590024,FACT,INE188A01015,Fertilizers & Agrochemicals
Federal Bank,500469,FEDERALBNK,INE171A01029,Banks
Finolex Cables,500144,FINCABLES,INE235A01022,Industrial Products
Firstsour.Solu.,532809,FSL,INE684F01012,Commercial Services & Supplies
Five-Star Bus.Fi,543663,FIVESTAR,INE128S01021,Finance
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles
Fortis Health.,532843,FORTIS,INE061F01013,Healthcare Services
FSN E-Commerce,543384,NYKAA,INE388Y01029,Retailing
G M D C,532181,GMDCLTD,INE131A01031,Minerals & Mining
Gabriel India,505714,GABRIEL,INE524A01029,Auto Components
GAIL (India),532155,GAIL,INE129A01019,Gas
Gallantt Ispat L,532726,GALLANTT,INE297H01019,Industrial Products
Garden Reach Sh.,542011,GRSE,INE382Z01011,Aerospace & Defense
GE Shipping Co,500620,GESHIP,INE017A01032,Transport Services
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment
General Insuranc,540755,GICRE,INE481Y01014,Insurance
Gillette India,507815,GILLETTE,INE322A01010,Personal Products
Gland Pharma,543245,GLAND,INE068V01023,Pharmaceuticals & Biotechnology
Glaxosmi. Pharma,500660,GLAXO,INE159A01016,Pharmaceuticals & Biotechnology
Glenmark Pharma.,532296,GLENMARK,INE935A01035,Pharmaceuticals & Biotechnology
Global Health,543654,MEDANTA,INE474Q01031,Healthcare Services
GMR Airports,532754,GMRAIRPORT,INE776C01039,Transport Infrastructure
Go Digit General,544179,GODIGIT,INE03JT01014,Insurance
Godawari Power,532734,GPIL,INE177H01039,Industrial Products
Godfrey Phillips,500163,GODFRYPHLP,INE260B01028,Cigarettes & Tobacco Products
Godrej Consumer,532424,GODREJCP,INE102D01028,Personal Products
Godrej Industrie,500164,GODREJIND,INE233A01035,Diversified
Godrej Propert.,533150,GODREJPROP,INE484J01027,Realty
Granules India,532482,GRANULES,INE101D01020,Pharmaceuticals & Biotechnology
Graphite India,509488,GRAPHITE,INE371A01025,Industrial Products
Grasim Inds,500300,GRASIM,INE047A01021,Cement & Cement Products
Gravita India,533282,GRAVITA,INE024L01027,Minerals & Mining
Gujarat Fluoroch,542812,FLUOROCHEM,INE09N301011,Chemicals & Petrochemicals
H P C L,500104,HINDPETRO,INE094A01015,Petroleum Products
H U D C O,540530,HUDCO,INE031A01017,Finance
Havells India,517354,HAVELLS,INE176B01034,Consumer Durables
HBL Engineering,517271,HBLENGINE,INE292B01021,Industrial Products
HCL Technologies,532281,HCLTECH,INE860A01027,IT - Software
HDB FINANC SER,544429,HDBFS,INE756I01012,Finance
HDFC AMC,541729,HDFCAMC,INE127D01025,Capital Markets
HDFC Bank,500180,HDFCBANK,INE040A01034,Banks
HDFC Life Insur.,540777,HDFCLIFE,INE795G01014,Insurance
HEG,509631,HEG,INE545A01024,Industrial Products
Hero Motocorp,500182,HEROMOTOCO,INE158A01026,Automobiles
Hexaware Tech.,544362,HEXT,INE093A01041,IT - Software
HFCL,500183,HFCL,INE548A01028,Telecom - Services
Himadri Special,500184,HSCL,INE019C01026,Chemicals & Petrochemicals
Hind. Unilever,500696,HINDUNILVR,INE030A01027,Diversified FMCG
Hind.Aeronautics,541154,HAL,INE066F01020,Aerospace & Defense
Hindalco Inds.,500440,HINDALCO,INE038A01020,Non - Ferrous Metals
Hindustan Copper,513599,HINDCOPPER,INE531E01026,Non - Ferrous Metals
Hindustan Zinc,500188,HINDZINC,INE267A01025,Non - Ferrous Metals
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment
Home First Finan,543259,HOMEFIRST,INE481N01025,Finance
Honasa Consumer,544014,HONASA,INE0J5401028,Personal Products
Honeywell Auto,517174,HONAUT,INE671A01010,Industrial Manufacturing
Hyundai Motor I,544274,HYUNDAI,INE0V6F01027,Automobiles
I O B,532388,IOB,INE565A01014,Banks
I O C L,530965,IOC,INE242A01010,Petroleum Products
I R C T C,542830,IRCTC,INE335Y01020,Leisure Services
I R F C,543257,IRFC,INE053F01010,Finance
ICICI AMC,544658,ICICIAMC,INE346A01027,Capital Markets
ICICI Bank,532174,ICICIBANK,INE090A01021,Banks
ICICI Lombard,540716,ICICIGI,INE765G01017,Insurance
